TesteCode,MeasCode,TestName,LL,UL,aver,dB
AMPLITUDE_01,AOLALA71,AUDIO_OUTPUT_LEFT_ALERT_AMP_07100,97.61248718,108.7124872,103.1624872,dBSPL
AMPLITUDE_02,AOLALA01,AUDIO_OUTPUT_LEFT_ALERT_AMP_06300,101.7736057,112.2736057,107.0236057,dBSPL
AMPLITUDE_03,AOLALA02,AUDIO_OUTPUT_LEFT_ALERT_AMP_05600,107.0745072,118.2745072,112.6745072,dBSPL
AMPLITUDE_04,AOLALA03,AUDIO_OUTPUT_LEFT_ALERT_AMP_05000,110.0408399,120.5408399,115.2908399,dBSPL
AMPLITUDE_05,AOLALA04,AUDIO_OUTPUT_LEFT_ALERT_AMP_04500,104.9998659,114.3998659,109.6998659,dBSPL
AMPLITUDE_06,AOLALA05,AUDIO_OUTPUT_LEFT_ALERT_AMP_04000,98.56381593,107.7638159,103.1638159,dBSPL
AMPLITUDE_07,AOLALA06,AUDIO_OUTPUT_LEFT_ALERT_AMP_03550,101.4424736,109.4424736,105.4424736,dBSPL
AMPLITUDE_08,AOLALA07,AUDIO_OUTPUT_LEFT_ALERT_AMP_03150,101.2066722,109.2066722,105.2066722,dBSPL
AMPLITUDE_09,AOLALA08,AUDIO_OUTPUT_LEFT_ALERT_AMP_02800,99.39807052,107.3980705,103.3980705,dBSPL
AMPLITUDE_10,AOLALA09,AUDIO_OUTPUT_LEFT_ALERT_AMP_02500,98.30160481,106.3016048,102.3016048,dBSPL
AMPLITUDE_11,AOLALA10,AUDIO_OUTPUT_LEFT_ALERT_AMP_02240,97.61374849,105.6137485,101.6137485,dBSPL
AMPLITUDE_12,AOLALA11,AUDIO_OUTPUT_LEFT_ALERT_AMP_02000,97.21234551,105.2123455,101.2123455,dBSPL
AMPLITUDE_13,AOLALA12,AUDIO_OUTPUT_LEFT_ALERT_AMP_01800,97.1818881,105.1818881,101.1818881,dBSPL
AMPLITUDE_14,AOLALA13,AUDIO_OUTPUT_LEFT_ALERT_AMP_01600,96.18721207,104.1872121,100.1872121,dBSPL
AMPLITUDE_15,AOLALA14,AUDIO_OUTPUT_LEFT_ALERT_AMP_01400,96.63159391,104.6315939,100.6315939,dBSPL
AMPLITUDE_16,AOLALA15,AUDIO_OUTPUT_LEFT_ALERT_AMP_01250,96.95455518,104.9545552,100.9545552,dBSPL
AMPLITUDE_17,AOLALA16,AUDIO_OUTPUT_LEFT_ALERT_AMP_01120,97.20046461,105.2004646,101.2004646,dBSPL
AMPLITUDE_18,AOLALA17,AUDIO_OUTPUT_LEFT_ALERT_AMP_01000,96.65624807,104.6562481,100.6562481,dBSPL
AMPLITUDE_19,AOLALA18,AUDIO_OUTPUT_LEFT_ALERT_AMP_00900,97.36125173,105.3612517,101.3612517,dBSPL
AMPLITUDE_20,AOLALA19,AUDIO_OUTPUT_LEFT_ALERT_AMP_00800,97.34685651,105.3468565,101.3468565,dBSPL
AMPLITUDE_21,AOLALA20,AUDIO_OUTPUT_LEFT_ALERT_AMP_00710,97.33945187,105.3394519,101.3394519,dBSPL
AMPLITUDE_22,AOLALA21,AUDIO_OUTPUT_LEFT_ALERT_AMP_00630,96.4264166,104.4264166,100.4264166,dBSPL
AMPLITUDE_23,AOLALA22,AUDIO_OUTPUT_LEFT_ALERT_AMP_00560,95.20995188,103.2099519,99.20995189,dBSPL
AMPLITUDE_24,AOLALA23,AUDIO_OUTPUT_LEFT_ALERT_AMP_00500,93.96389601,101.963896,97.96389601,dBSPL
AMPLITUDE_25,AOLALA24,AUDIO_OUTPUT_LEFT_ALERT_AMP_00450,92.66478663,100.6647866,96.66478662,dBSPL
AMPLITUDE_26,AOLALA25,AUDIO_OUTPUT_LEFT_ALERT_AMP_00400,90.94532506,98.94532506,94.94532506,dBSPL
AMPLITUDE_27,AOLALA26,AUDIO_OUTPUT_LEFT_ALERT_AMP_00355,88.79323242,96.79323242,92.79323242,dBSPL
AMPLITUDE_28,AOLALA27,AUDIO_OUTPUT_LEFT_ALERT_AMP_00315,86.75262384,94.75262384,90.75262384,dBSPL
AMPLITUDE_29,AOLALA28,AUDIO_OUTPUT_LEFT_ALERT_AMP_00280,84.85925548,93.35925548,89.10925548,dBSPL
AMPLITUDE_30,AOLALA29,AUDIO_OUTPUT_LEFT_ALERT_AMP_00250,83.17135417,91.57135417,87.37135417,dBSPL
AMPLITUDE_31,AOLALA30,AUDIO_OUTPUT_LEFT_ALERT_AMP_00224,81.29261074,90.29261074,85.79261074,dBSPL
AMPLITUDE_32,AOLALA31,AUDIO_OUTPUT_LEFT_ALERT_AMP_00200,79.13527441,89.13527441,84.13527441,dBSPL
AMPLITUDE_33,AOLALA32,AUDIO_OUTPUT_LEFT_ALERT_AMP_00180,77.36682669,88.06682669,82.71682669,dBSPL
AMPLITUDE_34,AOLALA33,AUDIO_OUTPUT_LEFT_ALERT_AMP_00160,75.29252019,86.79252019,81.04252019,dBSPL
AMPLITUDE_35,AOLALA34,AUDIO_OUTPUT_LEFT_ALERT_AMP_00140,73.15331174,85.55331174,79.35331174,dBSPL
